genes	logFC	logCPM	LR	PValue	FDR						
SEPN1	0.934182077	4.702688861	25.82155456	3.74E-07	1.53E-05						
PLOD1	0.899955726	4.258910077	25.78026744	3.83E-07	1.56E-05						
PARP3	1.297253429	3.779976064	25.72724222	3.93E-07	1.60E-05						
MBOAT1	0.546403045	6.212749	25.68902735	4.01E-07	1.62E-05						
SLC46A2	1.050674337	5.694211718	25.653617	4.09E-07	1.65E-05						
TNR	3.300213185	-0.864124776	25.59656099	4.21E-07	1.69E-05						
RGS14	-0.547364204	7.630147938	25.58540349	4.23E-07	1.70E-05						
FAM26F	1.931251527	3.483440231	25.46486265	4.51E-07	1.80E-05						
AQP9	1.500883755	3.478530324	25.46193932	4.51E-07	1.80E-05						
LRRC57	-0.758021677	4.526041786	25.45276895	4.53E-07	1.80E-05						
RYBP	0.522024911	6.1110195	25.44441845	4.55E-07	1.81E-05						
ALDOC	0.886365905	5.909845319	25.40403355	4.65E-07	1.84E-05						
MYO9A	0.892463746	5.320081855	25.35880991	4.76E-07	1.88E-05						
DYRK3	1.890375143	3.361992866	25.35486246	4.77E-07	1.88E-05						
SPRED1	1.36830613	1.90735434	25.31433999	4.87E-07	1.91E-05						
LOC100848072	2.110730465	0.944649664	25.29575192	4.92E-07	1.93E-05						
LY86	0.780896177	6.969601794	25.22741969	5.10E-07	1.99E-05						
DCHS1	-1.334504353	2.529573728	25.18138437	5.22E-07	2.03E-05						
KSR1	0.751560576	5.653790863	25.12971549	5.36E-07	2.08E-05						
ABO	1.326502903	2.65441255	25.12888029	5.36E-07	2.08E-05						
CLEC7A	-1.411909934	2.431543618	25.09349212	5.46E-07	2.11E-05						
LOC781977	2.271535592	3.938239245	25.04895976	5.59E-07	2.15E-05						
ACKR2	1.76749971	0.925278906	24.99004134	5.76E-07	2.21E-05						
LOC513969	-2.028060224	2.119087356	24.98990607	5.76E-07	2.21E-05						
CNKSR3	2.145488823	0.407831212	24.97964355	5.79E-07	2.21E-05						
SIGLEC1	2.099485961	2.047068823	24.90732707	6.02E-07	2.29E-05						
LARGE	1.663603931	2.282550523	24.79777933	6.37E-07	2.42E-05						
LGALS12	-1.147312003	4.108831684	24.79335212	6.38E-07	2.42E-05						
PEPD	0.69222484	5.995159933	24.75422644	6.51E-07	2.46E-05						
C23H6orf141	1.2323782	2.879843204	24.72304989	6.62E-07	2.50E-05						
PPM1E	1.340531939	2.099896107	24.6861029	6.75E-07	2.54E-05						
LPAR5	1.031306152	2.965250956	24.66220016	6.83E-07	2.56E-05						
STOM	1.02980301	7.384702249	24.59224961	7.08E-07	2.65E-05						
TCF7L2	1.527439432	2.924604033	24.569558	7.17E-07	2.68E-05						
LOC614141	2.094497308	3.71709945	24.56386181	7.19E-07	2.68E-05						
MTMR12	-0.635507307	4.984336215	24.51484581	7.37E-07	2.74E-05						
SH3PXD2A	1.210965413	2.694899718	24.47495123	7.53E-07	2.79E-05						
LOC104975694	-1.031922804	5.263196132	24.46091092	7.58E-07	2.80E-05						
PWWP2B	1.428735691	1.871085176	24.45135605	7.62E-07	2.81E-05						
GBP5	1.682240095	5.831849921	24.40734583	7.80E-07	2.87E-05						
LOC101906302	-1.513085715	4.551625022	24.33693564	8.09E-07	2.97E-05						
HMOX1	1.122190909	5.218417397	24.32320883	8.15E-07	2.98E-05						
C10H15orf48	1.382154104	6.731864776	24.30741696	8.21E-07	2.99E-05						
ANKRD33	2.546786254	-0.49294496	24.30053017	8.24E-07	2.99E-05						
LOC101908167	-2.146603291	1.338663566	24.299217	8.25E-07	2.99E-05						
C1QB	1.406561023	5.505883444	24.27385079	8.36E-07	3.03E-05						
OAT	0.665887648	6.091454914	24.26310405	8.40E-07	3.04E-05						
LGALS3BP	0.709617878	6.398176842	24.2578623	8.43E-07	3.04E-05						
FAM20C	1.063936614	2.306634171	24.23936558	8.51E-07	3.06E-05						
KCNJ2	-1.509781473	5.258039682	24.21568689	8.61E-07	3.09E-05						
BPNT1	0.613893763	5.124854668	24.18851548	8.74E-07	3.12E-05						
RBCK1	0.633624918	7.217961404	24.18683655	8.74E-07	3.12E-05						
GNG2	-0.631602141	7.051614335	24.16861982	8.83E-07	3.14E-05						
FADS1	1.281764948	3.85137454	24.16093229	8.86E-07	3.14E-05						
IDH1	0.910703171	5.13900859	24.15765512	8.88E-07	3.14E-05						
TRPC1	-1.326077139	2.469316568	24.15561846	8.89E-07	3.14E-05						
LOC104974257	2.314262566	2.772547115	24.14198448	8.95E-07	3.15E-05						
APRT	0.902208917	6.666206559	24.09920976	9.15E-07	3.20E-05						
MAPRE2	1.095051283	8.15950244	24.09698596	9.16E-07	3.20E-05						
SPG20	1.263260621	3.589644841	24.09672804	9.16E-07	3.20E-05						
HES4	1.98978273	4.056079303	24.09521183	9.17E-07	3.20E-05						
ATP6V1A	0.620790557	6.819256188	24.06158572	9.33E-07	3.25E-05						
TCEB1	0.740984621	6.012833568	24.0385964	9.44E-07	3.28E-05						
PTGS2	1.347985026	1.7270833	23.97146228	9.78E-07	3.39E-05						
C10H15orf52	1.625846399	2.209594705	23.93815489	9.95E-07	3.44E-05						
WEE2	-3.480351206	-0.449184587	23.90252466	1.01E-06	3.50E-05						
LOC101909551	-1.608935818	4.012424589	23.88580386	1.02E-06	3.51E-05						
TAP1	0.660537421	8.719015888	23.88426813	1.02E-06	3.51E-05						
CHI3L2	-1.86280787	1.491363673	23.87611433	1.03E-06	3.52E-05						
LAMP1	0.932701216	8.517711469	23.84197531	1.05E-06	3.57E-05						
FCER2	-0.924208351	5.733246697	23.83566632	1.05E-06	3.58E-05						
DDR2	-1.450073465	1.939222446	23.8241458	1.06E-06	3.59E-05						
1-Mar	1.124179038	4.581315846	23.80105573	1.07E-06	3.63E-05						
LOC101902705	-0.778436682	3.949308274	23.77685939	1.08E-06	3.66E-05						
SPOCK2	-0.631945898	9.233152655	23.67477039	1.14E-06	3.85E-05						
AKAP2	1.207198386	5.16586136	23.6190368	1.17E-06	3.96E-05						
SKAP2	0.875242521	7.519053642	23.61551541	1.18E-06	3.96E-05						
RSAD2	2.365081911	5.59539718	23.53225015	1.23E-06	4.12E-05						
MYLIP	-0.610847388	6.340575766	23.52404674	1.23E-06	4.13E-05						
MGC139164	-0.636530178	8.020892151	23.4803732	1.26E-06	4.20E-05						
GRAMD1C	0.915114739	5.250236304	23.4753522	1.27E-06	4.20E-05						
TBC1D8	1.066566521	6.516910171	23.47434959	1.27E-06	4.20E-05						
MGST1	1.021716723	5.724974127	23.47170649	1.27E-06	4.20E-05						
DPP3	0.547923021	5.334928067	23.46989173	1.27E-06	4.20E-05						
DISC1	1.245187896	3.496135044	23.38773623	1.32E-06	4.37E-05						
HSD17B12	0.821496722	6.007267358	23.31721053	1.37E-06	4.52E-05						
SEPP1	0.951798147	5.940825373	23.27698734	1.40E-06	4.61E-05						
SPDEF	-1.680683473	2.186001138	23.25732955	1.42E-06	4.65E-05						
SPATA6L	-3.595933014	2.813135766	23.24212783	1.43E-06	4.67E-05						
FOXS1	1.783489655	2.98159454	23.23306022	1.44E-06	4.68E-05						
LOC100337090	-1.324233314	4.737733104	23.22073541	1.44E-06	4.70E-05						
MFSD2B	1.3461092	3.508606292	23.19112688	1.47E-06	4.76E-05						
DRAM1	1.190466863	4.129326267	23.18920227	1.47E-06	4.76E-05						
PILRA	0.86073013	7.221057959	23.17819527	1.48E-06	4.78E-05						
P3H3	2.824239427	-0.885292231	23.16503853	1.49E-06	4.80E-05						
RAB44	-2.395195797	1.379646356	23.15006244	1.50E-06	4.82E-05						
ATP11A	0.900273375	5.443583491	23.14445286	1.50E-06	4.82E-05						
DBN1	-0.983462502	4.284832086	23.14220909	1.50E-06	4.82E-05						
LOC104976912	-1.562600958	2.59463973	23.11990938	1.52E-06	4.87E-05						
LOC100847890	0.818571282	6.901653096	23.07820836	1.56E-06	4.97E-05						
ECM1	1.87391289	5.909679737	23.07338334	1.56E-06	4.97E-05						
LOC100848517	-1.526086049	1.063994599	23.05224142	1.58E-06	5.01E-05						
MPP1	0.769434893	6.82421027	23.0264838	1.60E-06	5.07E-05						
CDR2	-1.052391778	2.899977033	22.98570765	1.63E-06	5.16E-05						
LOC512486	1.421394031	8.046800806	22.98018753	1.64E-06	5.17E-05						
LOC515418	-1.069306168	7.383047453	22.89882494	1.71E-06	5.38E-05						
PVRL2	1.456874151	3.619497045	22.88863663	1.72E-06	5.40E-05						
SLFN14	1.360633315	2.989893374	22.87820248	1.73E-06	5.41E-05						
CD300LF	1.308549844	5.680789622	22.86395107	1.74E-06	5.44E-05						
PBX4	1.376786628	2.809228859	22.86021596	1.74E-06	5.44E-05						
TRIB3	-0.741991813	4.835038679	22.85810446	1.74E-06	5.44E-05						
RBM23	-0.496249094	6.308569465	22.83382912	1.77E-06	5.49E-05						
LRRC25	1.195841819	4.406986689	22.81132109	1.79E-06	5.55E-05						
PTPRN2	1.565262012	0.667990569	22.77645693	1.82E-06	5.64E-05						
SEMA7A	-1.23091246	5.216003187	22.71443286	1.88E-06	5.79E-05						
TXNL4B	0.71408843	5.162597747	22.71343553	1.88E-06	5.79E-05						
CLIC5	1.12277268	5.739398609	22.71179674	1.88E-06	5.79E-05						
ANGPTL4	1.550308813	0.323596154	22.66851543	1.92E-06	5.90E-05						
LOC107132458	-1.704312074	1.853574096	22.66675367	1.93E-06	5.90E-05						
CDC42EP3	-0.723988707	4.971083624	22.65755261	1.94E-06	5.91E-05						
PDLIM1	2.028386813	6.610288561	22.65722131	1.94E-06	5.91E-05						
CDH13	2.459992265	2.140729491	22.63617718	1.96E-06	5.96E-05						
SLC16A12	-1.525854992	6.209107463	22.53823395	2.06E-06	6.25E-05						
LOC107132903	1.04585681	3.339003025	22.53726218	2.06E-06	6.25E-05						
CXCL16	1.023319883	4.298783974	22.50419734	2.10E-06	6.35E-05						
ALAS1	0.708937861	5.3034058	22.46497758	2.14E-06	6.46E-05						
GLB1L	1.334225297	1.590293829	22.45844274	2.15E-06	6.47E-05						
HIBADH	0.606655206	4.655969954	22.44731013	2.16E-06	6.50E-05						
AK2	0.549500885	6.522143453	22.41058771	2.20E-06	6.61E-05						
PLXNB1	-1.177368797	2.636471925	22.3996994	2.21E-06	6.62E-05						
LACTB	0.722439707	5.573165364	22.39951302	2.21E-06	6.62E-05						
GPR141	1.192856008	2.757923713	22.3559169	2.27E-06	6.76E-05						
LOC104973085	-1.604853257	3.975715001	22.34031683	2.28E-06	6.80E-05						
GLRX5	0.844829123	4.300643661	22.26336549	2.38E-06	7.06E-05						
FAM131B	-1.24177682	3.298959663	22.25993483	2.38E-06	7.06E-05						
GNAQ	1.167002809	3.455009306	22.21033568	2.44E-06	7.23E-05						
LPIN3	1.127190275	2.04141445	22.18909166	2.47E-06	7.29E-05						
SMTN	1.003831163	2.63981913	22.1175132	2.56E-06	7.55E-05						
CFAP126	1.479249042	3.173812656	22.11374722	2.57E-06	7.55E-05						
PLB1	-1.435636212	1.994568967	22.11197206	2.57E-06	7.55E-05						
ARHGAP21	0.970001127	4.152391009	22.06679657	2.63E-06	7.71E-05						
RHCG	4.591442491	-0.778676542	22.05674293	2.65E-06	7.74E-05						
P2RY10	-0.621786295	6.133362035	22.04073782	2.67E-06	7.79E-05						
DOK2	0.734012249	6.626827914	22.03194064	2.68E-06	7.80E-05						
TMEM71	-0.721328713	7.554310272	22.02687222	2.69E-06	7.80E-05						
SDHD	0.615365591	6.354225482	22.02639506	2.69E-06	7.80E-05						
ZFP37	-1.330713081	1.736346583	22.01708645	2.70E-06	7.82E-05						
LOC101901948	-1.437510372	6.551118246	22.01070887	2.71E-06	7.82E-05						
OAF	1.193150408	2.196697814	22.00948467	2.71E-06	7.82E-05						
DRG1	0.536173392	6.189021819	21.99301593	2.74E-06	7.87E-05						
VAT1L	-1.457082583	5.146782737	21.98184121	2.75E-06	7.90E-05						
LOC107132998	-2.169248828	2.152004129	21.92000799	2.84E-06	8.14E-05						
CISH	0.702190183	5.168580148	21.90348828	2.87E-06	8.20E-05						
ARL5C	-0.877931959	4.858095851	21.86697369	2.92E-06	8.34E-05						
GPR146	0.947759668	4.054835614	21.8431584	2.96E-06	8.43E-05						
NMI	0.843732092	6.870742811	21.8368701	2.97E-06	8.44E-05						
DGKG	-1.179005238	2.927082907	21.7846992	3.05E-06	8.65E-05						
ACSS2	0.592283962	5.511560541	21.75140575	3.10E-06	8.79E-05						
FAM111B	0.942531098	5.103984922	21.7258649	3.15E-06	8.88E-05						
LOC101903632	-1.466125568	1.985578524	21.72293325	3.15E-06	8.88E-05						
CRLS1	-0.651770841	6.962385254	21.66390919	3.25E-06	9.14E-05						
BRB	-2.194427094	3.70588072	21.63617822	3.30E-06	9.26E-05						
P2RX1	2.044279746	3.476278089	21.61442667	3.33E-06	9.35E-05						
MAFG	0.61829856	5.728532927	21.6074375	3.35E-06	9.36E-05						
PCDH9	1.56035338	0.880593021	21.56572727	3.42E-06	9.54E-05						
PDXK	1.071916966	4.942115544	21.56412029	3.42E-06	9.54E-05						
PROKR1	1.105995125	3.444552222	21.52637021	3.49E-06	9.71E-05						
SCPEP1	0.705166299	7.141698163	21.50847542	3.52E-06	9.78E-05						
TTLL3	-0.742444964	4.469433819	21.48768992	3.56E-06	9.86E-05						
OBSL1	-1.539593566	3.518953999	21.4852232	3.57E-06	9.86E-05						
CDH10	2.5973451	4.426642707	21.47996542	3.58E-06	9.87E-05						
C3H1orf54	1.249523322	2.769724205	21.46575658	3.60E-06	9.93E-05						
MCFD2	0.669405202	6.261164142	21.44888724	3.63E-06	1.00E-04						
ADCY9	1.056582778	4.17629696	21.44283574	3.65E-06	0.000100092						
PEG10	-1.580900748	1.974941433	21.40773788	3.71E-06	0.000101637						
SPHK1	0.955511981	5.537626249	21.40623142	3.72E-06	0.000101637						
SRL	2.137473378	0.679547525	21.3809257	3.76E-06	0.000102637						
CD83	0.948563397	4.154375411	21.38026205	3.77E-06	0.000102637						
IFI44	1.395354836	5.539118979	21.35555756	3.82E-06	0.000103773						
LOC100847999	-1.83972176	0.371054857	21.32912441	3.87E-06	0.000104876						
XG	-0.780237702	6.447665593	21.32812329	3.87E-06	0.000104876						
SNX15	0.84713044	3.947667885	21.3041132	3.92E-06	0.000106						
MICU1	0.720207211	5.770689662	21.26497073	4.00E-06	0.000107986						
GNAI1	-1.51187765	2.668348102	21.25635693	4.02E-06	0.000108195						
BFSP2	0.954051485	3.500423916	21.25414609	4.02E-06	0.000108195						
CLEC4E	-1.506200258	2.866402348	21.24657785	4.04E-06	0.000108339						
TBC1D8B	1.209602128	2.290867062	21.24450688	4.04E-06	0.000108339						
IDH3A	0.590796595	4.696535586	21.2361529	4.06E-06	0.000108612						
NFKBIE	0.662844177	4.957257015	21.17465427	4.19E-06	0.000111947						
SCN4B	-1.699134141	1.145280799	21.12870609	4.29E-06	0.000114453						
LOC101904563	-1.4989681	2.824375183	21.11731027	4.32E-06	0.000114925						
LOC104971894	-2.710028719	-0.289439896	21.08212222	4.40E-06	0.000116841						
PSMA6	0.666792422	6.885309028	21.07101741	4.43E-06	0.000117306						
MGC137036	-2.868740126	-0.381175622	21.03571648	4.51E-06	0.000119269						
UBE2F	0.737633295	5.368249174	20.9736798	4.66E-06	0.00012297						
KREMEN1	-1.620141163	2.822691108	20.9690394	4.67E-06	0.000123045						
LOC539533	-0.680786445	6.444218582	20.87356981	4.91E-06	0.000129098						
ENDOD1	1.151288928	6.661333286	20.86240267	4.93E-06	0.000129618						
FAM129B	-1.073991374	5.051138019	20.81880348	5.05E-06	0.000132162						
LOC107131400	1.603010317	0.81363717	20.81825996	5.05E-06	0.000132162						
ITGAE	-0.546766564	5.279078313	20.80273214	5.09E-06	0.000132814						
LOC511180	-2.04589024	2.251213985	20.80195333	5.09E-06	0.000132814						
C28H10orf105	-1.419720229	4.239218044	20.77685457	5.16E-06	0.000134325						
BTG3	0.712398564	3.941713708	20.76891063	5.18E-06	0.000134642						
PLEKHA4	2.838165961	-1.04855032	20.75548268	5.22E-06	0.000135347						
DDX58	1.315375696	6.417268657	20.74524366	5.25E-06	0.00013561						
BCL2L1	1.078477333	5.814566308	20.74493478	5.25E-06	0.00013561						
GK5	0.748110907	3.90363735	20.72894313	5.29E-06	0.000136505						
PIGR	-1.943421953	1.665430386	20.71231417	5.34E-06	0.000137451						
LYSMD2	0.777932145	3.419457144	20.69114958	5.40E-06	0.000138457						
MARVELD1	0.959316327	3.899622117	20.69000392	5.40E-06	0.000138457						
AGBL3	-1.452820567	2.945948482	20.68818999	5.40E-06	0.000138457						
BAZ1A	0.52664415	7.57699013	20.67591272	5.44E-06	0.000139102						
SCAMP1	0.593126382	5.736943069	20.67027799	5.46E-06	0.000139267						
PDE3A	1.632612222	2.559547731	20.66651843	5.47E-06	0.000139296						
ZAN	-2.062909561	-0.035520377	20.653985	5.50E-06	0.000139965						
COX7A1	1.524398797	2.008159649	20.60145117	5.66E-06	0.000143608						
SARS	0.828453912	9.03500906	20.58960773	5.69E-06	0.000144247						
LOC407204	-1.417332509	2.415273341	20.56988093	5.75E-06	0.000145487						
ABHD1	0.685155895	4.581961705	20.55580358	5.79E-06	0.000146306						
CCNJL	-1.278184891	4.360632044	20.52203056	5.89E-06	0.000148651						
EMID1	-1.169043582	4.903145739	20.51039082	5.93E-06	0.000149299						
LOC101907127	-1.049768786	2.758300456	20.47513531	6.04E-06	0.000151811						
GLRX	0.889316241	6.893112626	20.42783291	6.19E-06	0.000155341						
CD276	-1.330531943	3.239533629	20.41974826	6.22E-06	0.00015573						
TMEM106B	-0.70468848	6.551411718	20.39351927	6.30E-06	0.000157607						
KDM4B	-0.514311402	6.286626655	20.37791867	6.36E-06	0.000158624						
APPL2	-0.598247508	5.740666196	20.3369102	6.49E-06	0.000161783						
RGN	-1.602395898	0.923217108	20.31709875	6.56E-06	0.000163186						
MS4A2	-1.50414044	3.643521581	20.29740148	6.63E-06	0.000164593						
FBP1	-2.408151505	1.116560451	20.29332209	6.64E-06	0.000164663						
PELI2	1.149754081	3.890263395	20.23630242	6.84E-06	0.000169355						
GPR183	-0.629788561	6.935597318	20.21358093	6.93E-06	0.000171087						
LOC508459	1.65428777	5.633816991	20.1896431	7.01E-06	0.000172948						
C16H1orf233	1.447685423	0.402712122	20.13258917	7.23E-06	0.000177882						
NUGGC	0.917633786	3.835866424	20.04111737	7.58E-06	0.000186281						
VCAN	-1.336373909	6.401576628	20.02768537	7.63E-06	0.000187277						
LOC104971636	-1.329632288	1.37775965	19.97952341	7.83E-06	0.00019173						
CD14	1.021598868	5.746300094	19.96160321	7.90E-06	0.000193209						
C28H10orf11	1.614061093	2.900838369	19.95638067	7.92E-06	0.000193412						
MIPOL1	1.848464534	0.084413071	19.91924668	8.08E-06	0.000196875						
LOC512286	0.913472742	6.024792214	19.89954375	8.16E-06	0.000198581						
PROSC	0.581614909	4.522141348	19.88542525	8.22E-06	0.000199718						
CLIC2	2.106774311	0.839757592	19.83714871	8.43E-06	0.000204365						
BIN1	0.468836139	7.013550171	19.83507281	8.44E-06	0.000204365						
LOC100847159	-1.148621501	4.858912795	19.80761331	8.56E-06	0.000206977						
LOC101907084	1.003830991	2.905416911	19.78092577	8.68E-06	0.000209539						
SULF2	-1.637104631	2.170145604	19.77274416	8.72E-06	0.000210089						
TFEC	0.98694445	5.50018966	19.74424637	8.85E-06	0.000212892						
COMT	0.756828311	4.740813157	19.64678296	9.32E-06	0.000223661						
RNASE10	1.870718816	-0.053424496	19.61839469	9.46E-06	0.000226634						
SPTSSA	0.714722317	5.06968275	19.57475184	9.67E-06	0.000231489						
ZNF710	0.690837839	5.684434859	19.5564208	9.77E-06	0.000233124						
RGS18	1.200814452	6.307049177	19.55502347	9.77E-06	0.000233124						
CD27	-0.576887272	7.00251206	19.55127087	9.79E-06	0.000233199						
FDPS	0.515882844	6.186089928	19.5423146	9.84E-06	0.000233911						
MAD2L2	0.7481816	3.6109878	19.51266143	9.99E-06	0.000237183						
LOC104968518	-0.779698692	3.406861037	19.50811329	1.00E-05	0.00023736						
OAS1Y	2.579037478	5.251927888	19.49783562	1.01E-05	0.000238252						
ZNF572	-0.665619377	5.399404512	19.47777569	1.02E-05	0.000240376						
NUB1	0.588055439	7.39920427	19.41848445	1.05E-05	0.000247552						
BAZ2B	-0.765033333	5.702272725	19.40983649	1.05E-05	0.000248273						
NACC2	1.321962727	3.307499863	19.39532176	1.06E-05	0.000249762						
LOC101903253	-0.877061972	3.780849957	19.32215176	1.10E-05	0.000259099						
LOC100336807	0.700991156	4.221541396	19.23041606	1.16E-05	0.000271413						
OPHN1	1.958407533	3.341398076	19.20586595	1.17E-05	0.000274483						
EXOC3L2	1.81257491	0.668348159	19.17859279	1.19E-05	0.000277985						
LOC788997	-1.168481519	1.95782212	19.16998416	1.20E-05	0.000278794						
SLC15A3	0.81314737	5.431579874	19.16612474	1.20E-05	0.00027891						
NOTCH3	1.167663346	3.491065053	19.14582784	1.21E-05	0.000281441						
CD9	1.230574262	5.333205806	19.1409153	1.21E-05	0.000281715						
CDADC1	0.522596535	6.262860532	19.11196285	1.23E-05	0.000285565						
PLCD3	2.260669572	-0.699200218	19.10655812	1.24E-05	0.000285919						
PLEKHH1	-1.113686896	3.110567428	19.07021416	1.26E-05	0.000290953						
NAGK	0.613656388	6.487294855	19.05652279	1.27E-05	0.000292583						
ABCC3	-1.081081693	3.535094402	19.04398248	1.28E-05	0.000294045						
L3MBTL3	0.528766937	5.127073983	19.03390503	1.28E-05	0.000295134						
LIN52	0.810883665	4.405953145	18.99813882	1.31E-05	0.000300243						
ARSA	0.734187942	5.043025356	18.98122731	1.32E-05	0.000302438						
IFFO1	0.831883369	5.453348876	18.95858789	1.34E-05	0.000305185						
ETHE1	0.735376322	4.752238022	18.95796889	1.34E-05	0.000305185						
WFDC3	2.531677338	-0.360977257	18.82929628	1.43E-05	0.000325967						
COX5A	0.665595315	6.490112867	18.81712964	1.44E-05	0.000327539						
KLRC1	-2.062950467	4.060978365	18.78506605	1.46E-05	0.000332571						
BHLHE41	-1.046537673	3.315778373	18.77666364	1.47E-05	0.000333517						
RRAGD	-1.509680569	1.360466611	18.75291488	1.49E-05	0.00033717						
LRRC28	1.137762899	4.586351632	18.73791377	1.50E-05	0.000339303						
LOC107133300	-4.044735536	-0.163809881	18.70250068	1.53E-05	0.000345126						
LOC104971180	1.611945124	1.265553482	18.69871073	1.53E-05	0.000345275						
ICAM1	1.386132025	2.064630715	18.65570264	1.57E-05	0.000352604						
PRNP	0.720586275	4.327319118	18.6026701	1.61E-05	0.000361989						
LOC100337493	2.676724626	2.310594226	18.55881153	1.65E-05	0.000369842						
EXD1	-1.350307546	1.277687628	18.55496299	1.65E-05	0.000370017						
PLIN2	0.896908129	5.666989699	18.54488193	1.66E-05	0.000371406						
ACO2	0.469086942	6.519019502	18.53480634	1.67E-05	0.000371757						
TET1	-1.079973584	3.739392883	18.53458056	1.67E-05	0.000371757						
DTX1	-0.883376094	3.753749408	18.53429246	1.67E-05	0.000371757						
NFKB2	0.697718584	6.413087773	18.52102641	1.68E-05	0.00037378						
DNASE1L1	0.572211048	6.021337276	18.50980225	1.69E-05	0.000375413						
RAB27B	1.053328732	4.231759536	18.48673057	1.71E-05	0.000379405						
ADGRG5	-0.765244733	5.259774352	18.47691163	1.72E-05	0.000379919						
